ID,HeartPy_Metrics
0044,"{'bpm': np.float64(75.11166318682771), 'ibi': np.float64(798.8106966924701), 'sdnn': np.float64(36.81972054263356), 'sdsd': np.float64(16.190318245621672), 'rmssd': np.float64(26.137344258216466), 'pnn20': 0.33994334277620397, 'pnn50': 0.02903682719546742, 'hr_mad': np.float64(20.0), 'sd1': np.float64(18.481812759201013), 'sd2': np.float64(48.535229285138314), 's': np.float64(2818.068362962755), 'sd1/sd2': np.float64(0.38079170597140294), 'breathingrate': np.float64(0.21143325316489153)}"
0045,"{'bpm': np.float64(93.88829846295386), 'ibi': np.float64(639.0572731880385), 'sdnn': np.float64(17.89260251044924), 'sdsd': np.float64(8.738243662880974), 'rmssd': np.float64(13.802798316983058), 'pnn20': 0.05425963488843814, 'pnn50': 0.0005070993914807302, 'hr_mad': np.float64(10.0), 'sd1': np.float64(9.760046361173105), 'sd2': np.float64(23.31989360038275), 's': np.float64(715.0366751284079), 'sd1/sd2': np.float64(0.4185287689740108), 'breathingrate': np.float64(0.32517488063702554)}"
0046,"{'bpm': np.float64(55.18958596508311), 'ibi': np.float64(1087.1616257088847), 'sdnn': np.float64(49.781729268896264), 'sdsd': np.float64(33.25373996478473), 'rmssd': np.float64(54.23804648283813), 'pnn20': 0.7029411764705882, 'pnn50': 0.34705882352941175, 'hr_mad': np.float64(30.5), 'sd1': np.float64(38.351309729876554), 'sd2': np.float64(58.98702202434903), 's': np.float64(7107.003740350869), 'sd1/sd2': np.float64(0.6501652128504751), 'breathingrate': np.float64(0.16519009902711726)}"
0047,"{'bpm': np.float64(91.51649231248123), 'ibi': np.float64(655.6195335276968), 'sdnn': np.float64(22.77365806854972), 'sdsd': np.float64(13.102457281686224), 'rmssd': np.float64(20.648389693732348), 'pnn20': 0.21161191749427044, 'pnn50': 0.007639419404125287, 'hr_mad': np.float64(10.0), 'sd1': np.float64(14.60008774149457), 'sd2': np.float64(28.598033637421082), 's': np.float64(1311.7211197753336), 'sd1/sd2': np.float64(0.5105276791614816), 'breathingrate': np.float64(0.11117163789174106)}"
0048,"{'bpm': np.float64(72.15569895441527), 'ibi': np.float64(831.5351506456241), 'sdnn': np.float64(71.9668748074368), 'sdsd': np.float64(28.069947779722504), 'rmssd': np.float64(42.91821199323575), 'pnn20': 0.511605415860735, 'pnn50': 0.1827852998065764, 'hr_mad': np.float64(50.0), 'sd1': np.float64(30.34691965136549), 'sd2': np.float64(96.9088534049132), 's': np.float64(9239.06330099595), 'sd1/sd2': np.float64(0.31314909407262603), 'breathingrate': np.float64(0.13227969679192977)}"
0049,"{'bpm': np.float64(58.00577937944192), 'ibi': np.float64(1034.3796884016158), 'sdnn': np.float64(39.93400618507316), 'sdsd': np.float64(20.78950572759908), 'rmssd': np.float64(30.62357699890874), 'pnn20': 0.35895953757225435, 'pnn50': 0.05722543352601156, 'hr_mad': np.float64(30.0), 'sd1': np.float64(21.654137417113326), 'sd2': np.float64(52.12936229526987), 's': np.float64(3546.281229721173), 'sd1/sd2': np.float64(0.41539233291327227), 'breathingrate': np.float64(0.22872061497952673)}"
0050,"{'bpm': np.float64(68.19191277008962), 'ibi': np.float64(879.8697318007663), 'sdnn': np.float64(61.9188187736077), 'sdsd': np.float64(30.061495429020027), 'rmssd': np.float64(51.13869765075354), 'pnn20': 0.7084006462035541, 'pnn50': 0.33521809369951533, 'hr_mad': np.float64(41.0), 'sd1': np.float64(36.16032472940841), 'sd2': np.float64(80.15623929570505), 's': np.float64(9105.829783581697), 'sd1/sd2': np.float64(0.45112301983142017), 'breathingrate': np.float64(0.165474956671689)}"
0052,"{'bpm': np.float64(81.26738248639322), 'ibi': np.float64(738.3035870516186), 'sdnn': np.float64(33.68236757779575), 'sdsd': np.float64(20.695563181837976), 'rmssd': np.float64(32.735934740857246), 'pnn20': 0.48722627737226276, 'pnn50': 0.12317518248175183, 'hr_mad': np.float64(22.0), 'sd1': np.float64(23.147698505278964), 'sd2': np.float64(41.738551821057534), 's': np.float64(3035.2541832236734), 'sd1/sd2': np.float64(0.5545879647314622), 'breathingrate': np.float64(0.1303502867706309)}"
0053,"{'bpm': np.float64(64.09970260536998), 'ibi': np.float64(936.0417843026539), 'sdnn': np.float64(64.55695732098982), 'sdsd': np.float64(41.331911677541804), 'rmssd': np.float64(55.32307375775239), 'pnn20': 0.5139920045688178, 'pnn50': 0.1901770416904626, 'hr_mad': np.float64(40.0), 'sd1': np.float64(39.11852194980352), 'sd2': np.float64(82.43748834733186), 's': np.float64(10131.110711213569), 'sd1/sd2': np.float64(0.4745234569130297), 'breathingrate': np.float64(0.12668001833844075)}"
0055,"{'bpm': np.float64(88.06598392363068), 'ibi': np.float64(681.3073257891602), 'sdnn': np.float64(41.72769307310877), 'sdsd': np.float64(22.91124848230851), 'rmssd': np.float64(36.45872781306142), 'pnn20': 0.5483870967741935, 'pnn50': 0.15570719602977667, 'hr_mad': np.float64(28.0), 'sd1': np.float64(25.77981462466973), 'sd2': np.float64(52.75890948158287), 's': np.float64(4272.926997465646), 'sd1/sd2': np.float64(0.48863433452256955), 'breathingrate': np.float64(0.29722618038132365)}"
